municip_code,municip_code_ibge,municip_name,municip_parent_code,municip_parent_name
110001,1100015,Alta Floresta D'Oeste,1100015,Alta Floresta D'Oeste
110002,1100023,Ariquemes,1100023,Ariquemes
110003,1100031,Cabixi,1100031,Cabixi
110004,1100049,Cacoal,1100049,Cacoal
110005,1100056,Cerejeiras,1100056,Cerejeiras
110006,1100064,Colorado do Oeste,1100064,Colorado do Oeste
110007,1100072,Corumbiara,1100072,Corumbiara
110008,1100080,Costa Marques,1100080,Costa Marques
110009,1100098,Espigão D'Oeste,1100098,Espigão D'Oeste
110010,1100106,Guajará-Mirim,1100106,Guajará-Mirim
110011,1100114,Jaru,1100114,Jaru
110012,1100122,Ji-Paraná,1100122,Ji-Paraná
110013,1100130,Machadinho D'Oeste,1100130,Machadinho D'Oeste
110014,1100148,Nova Brasilândia D'Oeste,1100148,Nova Brasilândia D'Oeste
110015,1100155,Ouro Preto do Oeste,1100155,Ouro Preto do Oeste
110018,1100189,Pimenta Bueno,1100189,Pimenta Bueno
110020,1100205,Porto Velho,1100205,Porto Velho
110025,1100254,Presidente Médici,1100254,Presidente Médici
110026,1100262,Rio Crespo,1100262,Rio Crespo
110028,1100288,Rolim de Moura,1100288,Rolim de Moura
110029,1100296,Santa Luzia D'Oeste,1100296,Santa Luzia D'Oeste
110030,1100304,Vilhena,1100304,Vilhena
110032,1100320,São Miguel do Guaporé,1100320,São Miguel do Guaporé
110033,1100338,Nova Mamoré,1100338,Nova Mamoré
110034,1100346,Alvorada D'Oeste,1100346,Alvorada D'Oeste
110037,1100379,Alto Alegre dos Parecis,1100379,Alto Alegre dos Parecis
110040,1100403,Alto Paraíso,1100403,Alto Paraíso
110045,1100452,Buritis,1100452,Buritis
110050,1100502,Novo Horizonte do Oeste,1100502,Novo Horizonte do Oeste
110060,1100601,Cacaulândia,1100601,Cacaulândia
110070,1100700,Campo Novo de Rondônia,1100700,Campo Novo de Rondônia
110080,1100809,Candeias do Jamari,1100809,Candeias do Jamari
110090,1100908,Castanheiras,1100908,Castanheiras
110092,1100924,Chupinguaia,1100924,Chupinguaia
110094,1100940,Cujubim,1100940,Cujubim
110100,1101005,Governador Jorge Teixeira,1101005,Governador Jorge Teixeira
110110,1101104,Itapuã do Oeste,1101104,Itapuã do Oeste
110120,1101203,Ministro Andreazza,1101203,Ministro Andreazza
110130,1101302,Mirante da Serra,1101302,Mirante da Serra
110140,1101401,Monte Negro,1101401,Monte Negro
110143,1101435,Nova União,1101435,Nova União
110145,1101450,Parecis,1101450,Parecis
110146,1101468,Pimenteiras do Oeste,1101468,Pimenteiras do Oeste
110147,1101476,Primavera de Rondônia,1101476,Primavera de Rondônia
110148,1101484,São Felipe D'Oeste,1101484,São Felipe D'Oeste
110149,1101492,São Francisco do Guaporé,1101492,São Francisco do Guaporé
110150,1101500,Seringueiras,1101500,Seringueiras
110155,1101559,Teixeirópolis,1101559,Teixeirópolis
110160,1101609,Theobroma,1101609,Theobroma
110170,1101708,Urupá,1101708,Urupá
110175,1101757,Vale do Anari,1101757,Vale do Anari
110180,1101807,Vale do Paraíso,1101807,Vale do Paraíso
120001,1200013,Acrelândia,1200013,Acrelândia
120005,1200054,Assis Brasil,1200054,Assis Brasil
120010,1200104,Brasiléia,1200104,Brasiléia
120013,1200138,Bujari,1200138,Bujari
120017,1200179,Capixaba,1200179,Capixaba
120020,1200203,Cruzeiro do Sul,1200203,Cruzeiro do Sul
120025,1200252,Epitaciolândia,1200252,Epitaciolândia
120030,1200302,Feijó,1200302,Feijó
120032,1200328,Jordão,1200328,Jordão
120033,1200336,Mâncio Lima,1200336,Mâncio Lima
120034,1200344,Manoel Urbano,1200344,Manoel Urbano
120035,1200351,Marechal Thaumaturgo,1200351,Marechal Thaumaturgo
120038,1200385,Plácido de Castro,1200385,Plácido de Castro
120039,1200393,Porto Walter,1200393,Porto Walter
120040,1200401,Rio Branco,1200401,Rio Branco
120042,1200427,Rodrigues Alves,1200427,Rodrigues Alves
120043,1200435,Santa Rosa do Purus,1200435,Santa Rosa do Purus
120045,1200450,Senador Guiomard,1200450,Senador Guiomard
120050,1200500,Sena Madureira,1200500,Sena Madureira
120060,1200609,Tarauacá,1200609,Tarauacá
120070,1200708,Xapuri,1200708,Xapuri
120080,1200807,Porto Acre,1200807,Porto Acre
130002,1300029,Alvarães,1300029,Alvarães
130006,1300060,Amaturá,1300060,Amaturá
130008,1300086,Anamã,1300086,Anamã
130010,1300102,Anori,1300102,Anori
130014,1300144,Apuí,1300144,Apuí
130020,1300201,Atalaia do Norte,1300201,Atalaia do Norte
130030,1300300,Autazes,1300300,Autazes
130040,1300409,Barcelos,1300409,Barcelos
130050,1300508,Barreirinha,1300508,Barreirinha
130060,1300607,Benjamin Constant,1300607,Benjamin Constant
130063,1300631,Beruri,1300631,Beruri
130068,1300680,Boa Vista do Ramos,1300680,Boa Vista do Ramos
130070,1300706,Boca do Acre,1300706,Boca do Acre
130080,1300805,Borba,1300805,Borba
130083,1300839,Caapiranga,1300839,Caapiranga
130090,1300904,Canutama,1300904,Canutama
130100,1301001,Carauari,1301001,Carauari
130110,1301100,Careiro,1301100,Careiro
130115,1301159,Careiro da Várzea,1301159,Careiro da Várzea
130120,1301209,Coari,1301209,Coari
130130,1301308,Codajás,1301308,Codajás
130140,1301407,Eirunepé,1301407,Eirunepé
130150,1301506,Envira,1301506,Envira
130160,1301605,Fonte Boa,1301605,Fonte Boa
