municip_code_ibge,year,months_suitable
1100015,2001,12
1100015,2002,12
1100015,2003,12
1100015,2004,12
1100015,2005,12
1100015,2006,12
1100015,2007,12
1100015,2008,12
1100015,2009,12
1100015,2010,12
1100015,2011,12
1100015,2012,12
1100015,2013,12
1100015,2014,12
1100015,2015,12
1100015,2016,12
1100015,2017,12
1100015,2018,12
1100015,2019,12
1100015,2020,12
1100023,2001,12
1100023,2002,12
1100023,2003,12
1100023,2004,12
1100023,2005,12
1100023,2006,12
1100023,2007,12
1100023,2008,12
1100023,2009,12
1100023,2010,12
1100023,2011,12
1100023,2012,12
1100023,2013,12
1100023,2014,12
1100023,2015,12
1100023,2016,12
1100023,2017,12
1100023,2018,12
1100023,2019,12
1100023,2020,12
1100031,2001,12
1100031,2002,12
1100031,2003,12
1100031,2004,12
1100031,2005,12
1100031,2006,12
1100031,2007,12
1100031,2008,12
1100031,2009,12
1100031,2010,12
1100031,2011,12
1100031,2012,12
1100031,2013,12
1100031,2014,12
1100031,2015,12
1100031,2016,12
1100031,2017,12
1100031,2018,12
1100031,2019,12
1100031,2020,12
1100049,2001,12
1100049,2002,12
1100049,2003,12
1100049,2004,12
1100049,2005,12
1100049,2006,12
1100049,2007,12
1100049,2008,12
1100049,2009,12
1100049,2010,12
1100049,2011,12
1100049,2012,12
1100049,2013,12
1100049,2014,12
1100049,2015,12
1100049,2016,12
1100049,2017,12
1100049,2018,12
1100049,2019,12
1100049,2020,12
1100056,2001,12
1100056,2002,12
1100056,2003,12
1100056,2004,12
1100056,2005,12
1100056,2006,12
1100056,2007,12
1100056,2008,12
1100056,2009,12
1100056,2010,12
1100056,2011,12
1100056,2012,12
1100056,2013,12
1100056,2014,12
1100056,2015,12
1100056,2016,12
1100056,2017,12
1100056,2018,12
1100056,2019,12
1100056,2020,12
1100064,2001,12
1100064,2002,12
1100064,2003,12
1100064,2004,12
1100064,2005,12
1100064,2006,12
1100064,2007,12
1100064,2008,12
1100064,2009,12
1100064,2010,12
1100064,2011,12
1100064,2012,12
1100064,2013,12
1100064,2014,12
1100064,2015,12
1100064,2016,12
1100064,2017,12
1100064,2018,12
1100064,2019,12
1100064,2020,12
1100072,2001,12
1100072,2002,12
1100072,2003,12
1100072,2004,12
1100072,2005,12
1100072,2006,12
1100072,2007,12
1100072,2008,12
1100072,2009,12
1100072,2010,12
1100072,2011,12
1100072,2012,12
1100072,2013,12
1100072,2014,12
1100072,2015,12
1100072,2016,12
1100072,2017,12
1100072,2018,12
1100072,2019,12
1100072,2020,12
1100080,2001,12
1100080,2002,12
1100080,2003,12
1100080,2004,12
1100080,2005,12
1100080,2006,12
1100080,2007,12
1100080,2008,12
1100080,2009,12
1100080,2010,12
1100080,2011,12
1100080,2012,12
1100080,2013,12
1100080,2014,12
1100080,2015,12
1100080,2016,12
1100080,2017,12
1100080,2018,12
1100080,2019,12
1100080,2020,12
1100098,2001,12
1100098,2002,12
1100098,2003,12
1100098,2004,12
1100098,2005,12
1100098,2006,12
1100098,2007,12
1100098,2008,12
1100098,2009,12
1100098,2010,12
1100098,2011,12
1100098,2012,12
1100098,2013,12
1100098,2014,12
1100098,2015,12
1100098,2016,12
1100098,2017,12
1100098,2018,12
1100098,2019,12
1100098,2020,12
1100106,2001,12
1100106,2002,12
1100106,2003,12
1100106,2004,12
1100106,2005,12
1100106,2006,12
1100106,2007,12
1100106,2008,12
1100106,2009,12
1100106,2010,12
1100106,2011,12
1100106,2012,12
1100106,2013,12
1100106,2014,12
1100106,2015,12
1100106,2016,12
1100106,2017,12
1100106,2018,12
1100106,2019,12
1100106,2020,12
1100114,2001,12
1100114,2002,12
1100114,2003,12
1100114,2004,12
1100114,2005,12
1100114,2006,12
1100114,2007,12
1100114,2008,12
1100114,2009,12
1100114,2010,12
1100114,2011,12
1100114,2012,12
1100114,2013,12
1100114,2014,12
1100114,2015,12
1100114,2016,12
1100114,2017,12
1100114,2018,12
1100114,2019,12
1100114,2020,12
1100122,2001,12
1100122,2002,12
1100122,2003,12
1100122,2004,12
1100122,2005,12
1100122,2006,12
1100122,2007,12
1100122,2008,12
1100122,2009,12
1100122,2010,12
1100122,2011,12
1100122,2012,12
1100122,2013,12
1100122,2014,12
1100122,2015,12
1100122,2016,12
1100122,2017,12
1100122,2018,12
1100122,2019,12
1100122,2020,12
1100130,2001,12
1100130,2002,12
1100130,2003,12
1100130,2004,12
1100130,2005,12
1100130,2006,12
1100130,2007,12
1100130,2008,12
1100130,2009,12
1100130,2010,12
1100130,2011,12
1100130,2012,12
1100130,2013,12
1100130,2014,12
1100130,2015,12
1100130,2016,12
1100130,2017,12
1100130,2018,12
1100130,2019,12
1100130,2020,12
1100148,2001,12
1100148,2002,12
1100148,2003,12
1100148,2004,12
1100148,2005,12
1100148,2006,12
1100148,2007,12
1100148,2008,12
1100148,2009,12
1100148,2010,12
1100148,2011,12
1100148,2012,12
1100148,2013,12
1100148,2014,12
1100148,2015,12
1100148,2016,12
1100148,2017,12
1100148,2018,12
1100148,2019,12
1100148,2020,12
1100155,2001,12
1100155,2002,12
1100155,2003,12
1100155,2004,12
1100155,2005,12
1100155,2006,12
1100155,2007,12
1100155,2008,12
1100155,2009,12
1100155,2010,12
1100155,2011,12
1100155,2012,12
1100155,2013,12
1100155,2014,12
1100155,2015,12
1100155,2016,12
1100155,2017,12
1100155,2018,12
1100155,2019,12
1100155,2020,12
1100189,2001,12
1100189,2002,12
1100189,2003,12
1100189,2004,12
1100189,2005,12
1100189,2006,12
1100189,2007,12
1100189,2008,12
1100189,2009,12
1100189,2010,12
1100189,2011,12
1100189,2012,12
1100189,2013,12
1100189,2014,12
1100189,2015,12
1100189,2016,12
1100189,2017,12
1100189,2018,12
1100189,2019,12
1100189,2020,12
1100205,2001,12
1100205,2002,12
1100205,2003,12
1100205,2004,12
1100205,2005,12
1100205,2006,12
1100205,2007,12
1100205,2008,12
1100205,2009,12
1100205,2010,12
1100205,2011,12
1100205,2012,12
1100205,2013,12
1100205,2014,12
1100205,2015,12
1100205,2016,12
1100205,2017,12
1100205,2018,12
1100205,2019,12
1100205,2020,12
1100254,2001,12
1100254,2002,12
1100254,2003,12
1100254,2004,12
1100254,2005,12
1100254,2006,12
1100254,2007,12
1100254,2008,12
1100254,2009,12
1100254,2010,12
1100254,2011,12
1100254,2012,12
1100254,2013,12
1100254,2014,12
1100254,2015,12
1100254,2016,12
1100254,2017,12
1100254,2018,12
1100254,2019,12
1100254,2020,12
1100262,2001,12
1100262,2002,12
1100262,2003,12
1100262,2004,12
1100262,2005,12
1100262,2006,12
1100262,2007,12
1100262,2008,12
1100262,2009,12
1100262,2010,12
1100262,2011,12
1100262,2012,12
1100262,2013,12
1100262,2014,12
1100262,2015,12
1100262,2016,12
1100262,2017,12
1100262,2018,12
1100262,2019,12
1100262,2020,12
1100288,2001,12
1100288,2002,12
1100288,2003,12
1100288,2004,12
1100288,2005,12
1100288,2006,12
1100288,2007,12
1100288,2008,12
1100288,2009,12
1100288,2010,12
1100288,2011,12
1100288,2012,12
1100288,2013,12
1100288,2014,12
1100288,2015,12
1100288,2016,12
1100288,2017,12
